,filenames,labels
0,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177085.mp3,Arabic
1,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177164.mp3,Arabic
2,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177185.mp3,Arabic
3,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177119.mp3,Arabic
4,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177096.mp3,Arabic
5,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177174.mp3,Arabic
6,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177151.mp3,Arabic
7,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177086.mp3,Arabic
8,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177029.mp3,Arabic
9,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177122.mp3,Arabic
10,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177053.mp3,Arabic
11,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177295.mp3,Arabic
12,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177347.mp3,Arabic
13,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177231.mp3,Arabic
14,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177289.mp3,Arabic
15,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177228.mp3,Arabic
16,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177366.mp3,Arabic
17,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177195.mp3,Arabic
18,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177260.mp3,Arabic
19,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177263.mp3,Arabic
20,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177268.mp3,Arabic
21,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177294.mp3,Arabic
22,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177301.mp3,Arabic
23,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177365.mp3,Arabic
24,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177266.mp3,Arabic
25,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177243.mp3,Arabic
26,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177210.mp3,Arabic
27,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177321.mp3,Arabic
28,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177221.mp3,Arabic
29,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177450.mp3,Arabic
30,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177484.mp3,Arabic
31,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177448.mp3,Arabic
32,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177389.mp3,Arabic
33,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177401.mp3,Arabic
34,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177531.mp3,Arabic
35,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177518.mp3,Arabic
36,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177434.mp3,Arabic
37,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177526.mp3,Arabic
38,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177524.mp3,Arabic
39,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177688.mp3,Arabic
